display_name,ticker_name
"Apple","AAPL.US"
Apple,AAPL.US
AbbVie,ABBV.US
Abbott,ABT.US
Accenture,ACN.US
Adobe,ADBE.US
American,AIG.US
Advanced,AMD.US
Amgen,AMGN.US
American,AMT.US
Amazon,AMZN.US
Broadcom,AVGO.US
American,AXP.US
Boeing,BA.US
Bank,BAC.US
BNY,BK.US
Booking,BKNG.US
BlackRock,BLK.US
Bristol,BMY.US
Berkshire,BRK.B.US
Citigroup,C.US
Caterpillar,CAT.US
Charter,CHTR.US
Colgate,CL.US
Comcast,CMCSA.US
Capital,COF.US
ConocoPhillips,COP.US
Costco,COST.US
Salesforce,CRM.US
Cisco,CSCO.US
CVS,CVS.US
Chevron,CVX.US
Deere,DE.US
Danaher,DHR.US
Disney,DIS.US
Dow,DOW.US
Duke,DUK.US
Emerson,EMR.US
Ford,F.US
FedEx,FDX.US
General,GD.US
GE,GE.US
Gilead,GILD.US
General,GM.US
Alphabet,GOOG.US
Alphabet,GOOGL.US
Goldman,GS.US
Home,HD.US
Honeywell,HON.US
IBM,IBM.US
Intel,INTC.US
Intuit,INTU.US
Johnson,JNJ.US
JPMorgan,JPM.US
Kraft,KHC.US
Coca-Cola,KO.US
Linde,LIN.US
Eli,LLY.US
Lockheed,LMT.US
Lowe's,LOW.US
Mastercard,MA.US
McDonald's,MCD.US
MondelÄ“z,MDLZ.US
Medtronic,MDT.US
MetLife,MET.US
Meta,META.US
3M,MMM.US
Altria,MO.US
Merck,MRK.US
Morgan,MS.US
Microsoft,MSFT.US
NextEra,NEE.US
Netflix,NFLX.US
Nike,NKE.US
Nvidia,NVDA.US
Oracle,ORCL.US
PepsiCo,PEP.US
Pfizer,PFE.US
Procter,PG.US
Philip,PM.US
PayPal,PYPL.US
Qualcomm,QCOM.US
RTX,RTX.US
Starbucks,SBUX.US
Charles,SCHW.US
Southern,SO.US
Simon,SPG.US
AT&T,T.US
Target,TGT.US
Thermo,TMO.US
T-Mobile,TMUS.US
Tesla,TSLA.US
Texas,TXN.US
UnitedHealth,UNH.US
Union,UNP.US
United,UPS.US
U.S.,USB.US
Visa,V.US
Verizon,VZ.US
Wells,WFC.US
Walmart,WMT.US
ExxonMobil,XOM.US
